trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
55,False,"{'a': 0.9, 'e': 0.00033057851239669424}",20,0,29.105778907296788,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.9, 'e': 0.00031887755102040814}",25,13,22.660492821556435,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.9, 'e': 0.0003077870113881194}",20,0,-39.23771939950365,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
58,False,"{'a': 0.9, 'e': 0.00029726516052318666}",20,0,-32.63120772060299,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
59,False,"{'a': 0.9, 'e': 0.0002872737719046251}",20,5,19.224707232354724,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.9, 'e': 0.0002777777777777778}",20,0,29.605702109512023,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.9, 'e': 0.0002687449610319806}",25,6,27.5004001204251,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.9, 'e': 0.00026014568158168577}",25,11,26.294794276219616,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.9, 'e': 0.0002519526329050139}",20,12,15.331060582684943,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.9, 'e': 0.000244140625}",35,15,14.368503650263708,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
65,False,"{'a': 0.9, 'e': 0.00023668639053254438}",25,16,13.454754005355557,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.9, 'e': 0.0002295684113865932}",30,15,24.344173273448547,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.9, 'e': 0.00022276676319893073}",20,12,16.134202674309208,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.9, 'e': 0.00021626297577854672}",25,11,26.896138142863244,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.9, 'e': 0.00021003990758244065}",20,9,18.926141893006147,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.9, 'e': 0.00020408163265306123}",35,19,28.200060051977985,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.9, 'e': 0.00019837333862328903}",25,14,20.011808109749207,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.9, 'e': 0.00019290123456790122}",20,6,19.972186025533787,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.9, 'e': 0.00018765246762994934}",25,11,22.627283357080664,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.9, 'e': 0.00018261504747991235}",20,3,13.967126501121376,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.9, 'e': 0.00017777777777777779}",35,12,27.25568980945198,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
