trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",20,8,21.3297729917736,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",25,1,21.82353738159028,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,6,-7.308175486709799,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",20,8,22.9000814102602,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",25,14,19.50225863797682,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",25,13,-27.967311062391147,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",20,8,0.9242740741566449,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",25,14,19.271339865785134,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",20,13,7.608372752434938,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",30,7,31.847259673926636,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.25785003253266964}",25,4,-41.771079677293464,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 1}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",25,19,9.776528916783708,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",25,8,7.513537350514061,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",25,0,27.770475246504464,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",25,11,22.652924992402824,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,6,-27.325354535701685,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",30,20,11.165073924116314,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",25,6,19.24987957048328,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",25,0,31.02565072920955,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",20,1,-41.17384464599046,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",25,14,16.54181756343446,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",25,11,24.403402078821145,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.14033160584673673}",30,11,13.622652913254573,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",25,6,36.373724465388726,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.12050276936736662}",30,20,15.06760798818573,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006959}",25,13,19.88589677969366,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693173}",20,7,19.348994099505397,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430968}",20,6,24.223939253192125,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480063}",20,6,23.218181529339436,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",20,7,25.106375908596476,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",25,17,6.267204360551708,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",30,20,18.700457569337615,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",25,9,31.00821080337524,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.03079145908246612}",20,9,22.7890203338252,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.020794827803092428}",25,8,28.70583173416785,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.010796117058267392}",30,10,32.4679692942456,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.0007963267107332633}",25,7,26.021480292519556,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,8,26.4246427758234,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,2,29.937515845556312,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,3,38.478369744799416,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,15,18.462781576058617,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,8,36.13968828631726,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,23,15.7315043790192,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,3,26.55077185533927,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,13,12.531553263925232,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,17,18.061568229627145,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,13,10.14812018614576,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
