trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.12245642825298191}",25,16,15.876858547829595,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.11648415777349697}",20,7,20.359304394850422,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.11080315836233387}",20,0,-10.031468045718075,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.10539922456186433}",30,15,14.01792441728752,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.10025884372280371}",20,6,8.790649813305475,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.095369162215549613}",35,6,29.955671551264878,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.09071795328941247}",20,15,9.717692178161204,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.086293586499370495}",25,0,1.6722016845103655,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.0820849986238988}",35,24,19.6458727621195,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.078081666001153127}",25,3,20.531415452979953,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.074273578214333877}",20,8,8.986629594511282,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.070651213060429569}",20,0,28.951989379793915,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
