trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
110,False,"{'a': 0.9, 'e': 8.264462809917356e-05}",20,10,17.444255406626354,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.9, 'e': 8.116224332440549e-05}",20,1,26.67803554053992,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.9, 'e': 7.971938775510203e-05}",30,18,19.115423380665362,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.9, 'e': 7.831466833737959e-05}",25,15,-26.694747118924614,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
114,False,"{'a': 0.9, 'e': 7.694675284702985e-05}",20,4,25.394261207531077,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.9, 'e': 7.561436672967863e-05}",35,21,1.024125846671923,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
116,False,"{'a': 0.9, 'e': 7.431629013079666e-05}",20,8,23.865053852177315,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.9, 'e': 7.305135510263716e-05}",20,12,14.706541918493881,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.9, 'e': 7.181844297615628e-05}",35,7,47.58982223569022,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.9, 'e': 7.06164818868724e-05}",20,11,17.19612491182813,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.9, 'e': 6.944444444444444e-05}",30,18,21.397281586253104,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.9, 'e': 6.830134553650706e-05}",25,9,24.392080342565908,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.9, 'e': 6.718624025799516e-05}",20,0,26.741491644805066,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
123,False,"{'a': 0.9, 'e': 6.609822195782933e-05}",20,0,30.386185041757997,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
124,False,"{'a': 0.9, 'e': 6.503642039542144e-05}",20,8,21.228100452800142,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.9, 'e': 6.4e-05}",20,13,12.974578940154121,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.9, 'e': 6.298815822625347e-05}",25,15,21.209771984870198,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.9, 'e': 6.2000124000248e-05}",20,0,27.251475519074788,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
128,False,"{'a': 0.9, 'e': 6.103515625e-05}",30,16,26.781028763634254,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.9, 'e': 6.009254251547383e-05}",20,3,23.888150580148213,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.9, 'e': 5.9171597633136094e-05}",25,20,10.835611091805847,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.9, 'e': 5.8271662490530857e-05}",25,18,12.048316588969016,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.9, 'e': 5.73921028466483e-05}",25,14,20.60158411468342,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
